seed,algoritmo,recomp_aval,tempo_s,recomp_treino_media,recomp_treino_final
0,Q-Learning,145.17881200000002,2.5301759243011475,146.36574433400003,141.89653
0,DQN,152.02372150000002,34.57101917266846,145.49249823400004,146.70321300000003
1,Q-Learning,145.8348941,2.4660792350769043,147.9516099,143.77688400000002
1,DQN,147.69197830000002,30.443247318267822,146.85223478,145.759236
2,Q-Learning,153.2252107,2.42977237701416,149.97165086400003,156.66134500000004
2,DQN,150.4002367,30.262556076049805,145.730702948,149.92535399999997
3,Q-Learning,153.6007542,2.417417049407959,149.67427778200002,147.839878
3,DQN,146.37648710000002,30.03539776802063,146.708851592,140.227155
4,Q-Learning,151.5320949,2.388880729675293,149.81267297000002,146.52824
4,DQN,144.44969199999997,31.75649642944336,145.967619358,146.640621
5,Q-Learning,141.8158592,3.895068645477295,147.79466336599998,142.57174800000004
5,DQN,140.09059910000005,28.50560450553894,146.00443732199997,147.44221100000004
6,Q-Learning,152.64880780000004,1.8761298656463623,149.825091732,154.61941600000003
6,DQN,137.3886845,18.870157718658447,146.725290218,136.70126800000003
7,Q-Learning,147.6866487,1.8655171394348145,149.1652128,155.517035
7,DQN,146.31771700000002,19.607349157333374,147.11475552000002,147.473434
8,Q-Learning,150.8496905,2.001511812210083,149.00513613400003,152.46788700000002
8,DQN,142.7187919,22.06575608253479,145.986118464,153.46353600000003
9,Q-Learning,148.5415715,1.9427247047424316,149.306081364,144.333983
9,DQN,140.50045250000002,23.821701526641846,148.816661632,145.736037
10,Q-Learning,147.4416444,1.9384431838989258,147.86409938799997,147.70814800000002
10,DQN,151.0574049,24.158902406692505,145.918205524,147.83985600000003
11,Q-Learning,151.0794848,2.3687174320220947,149.98569335200003,153.75130900000002
11,DQN,148.86470760000003,23.50112795829773,145.658318556,149.689343
12,Q-Learning,153.3284912,1.8936588764190674,149.94107255000003,157.05413099999998
12,DQN,134.8700065,26.500684022903442,145.329319448,136.598298
13,Q-Learning,140.1153916,2.048987865447998,145.85207242,149.17885400000006
13,DQN,151.6498997,26.576359272003174,145.66367207,138.55751199999997
14,Q-Learning,142.44843120000002,2.239344835281372,145.782123914,141.22373900000005
14,DQN,151.7367534,27.29347801208496,147.07672409199998,152.391772
15,Q-Learning,149.0626463,1.9627115726470947,146.72674657,141.83631799999998
15,DQN,142.0571736,24.066444158554077,145.591416882,145.85839200000004
16,Q-Learning,147.4757265,1.906067132949829,147.600278126,144.585968
16,DQN,129.2288901,23.907117128372192,146.88750653399998,129.333788
17,Q-Learning,146.07904110000004,1.955427885055542,147.098651206,151.672988
17,DQN,137.3209465,24.81671977043152,144.753805726,147.221459
18,Q-Learning,147.20918520000004,1.9804558753967285,148.850567598,148.77462400000002
18,DQN,151.41921650000003,23.484132289886475,145.79163699999998,143.27327900000003
19,Q-Learning,148.14635579999998,1.9652371406555176,148.82251079800002,142.647826
19,DQN,135.3701721,23.68165612220764,146.01099031400003,148.88719200000003
20,Q-Learning,144.574689,1.9819071292877197,147.62501678400002,146.794354
20,DQN,148.79121370000001,23.80726170539856,148.252184478,148.925746
21,Q-Learning,141.5843783,2.01808762550354,144.89969688,144.33298
21,DQN,139.6065555,23.454286336898804,146.00340452600003,147.927427
22,Q-Learning,151.0849442,1.97328782081604,149.42695011200001,148.79267
22,DQN,156.15057459999997,23.674654960632324,145.534744944,156.676896
23,Q-Learning,145.32624890000002,2.065406560897827,145.71263857800002,144.119109
23,DQN,142.39160859999998,23.634623527526855,148.0504473,141.44595500000003
24,Q-Learning,144.2599425,1.9595448970794678,146.542773592,139.781662
24,DQN,143.32526690000003,23.438429832458496,146.63364601,148.35715600000003
25,Q-Learning,145.7041751,1.9875144958496094,147.23380752000003,146.93646
25,DQN,150.5920359,23.766268491744995,146.44475763200003,150.82482300000004
26,Q-Learning,147.9271828,2.0402843952178955,148.547252218,150.120622
26,DQN,137.57499690000003,23.70958924293518,145.69112156,143.97808100000003
27,Q-Learning,148.18995150000003,2.040778875350952,147.75252989400005,149.35270300000002
27,DQN,129.50682500000002,48.20318603515625,147.23458924200003,146.90982100000002
28,Q-Learning,143.81925329999999,4.761495113372803,145.57936551600002,142.115635
28,DQN,139.025782,47.494752407073975,147.174900266,142.44418800000003
29,Q-Learning,147.51829000000004,3.3262195587158203,147.85277722400002,155.51623800000002
29,DQN,146.942674,41.47580671310425,145.337877214,149.06231200000002
